"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1999","84","","E. Rivers School","13-121-0032","AQS"
"01/02/1999","68","","E. Rivers School","13-121-0032","AQS"
"01/03/1999","63","","Doraville","13-089-2001","AQS"
"01/04/1999","61","","Doraville","13-089-2001","AQS"
"01/05/1999","8","","E. Rivers School","13-121-0032","AQS"
"01/06/1999","96","","Doraville","13-089-2001","AQS"
"01/07/1999","75","","E. Rivers School","13-121-0032","AQS"
"01/08/1999","70","","E. Rivers School","13-121-0032","AQS"
"01/09/1999","69","","Forest Park","13-063-0091","AQS"
"01/10/1999","65","","E. Rivers School","13-121-0032","AQS"
"01/12/1999","63","","Forest Park","13-063-0091","AQS"
"01/13/1999","72","","Doraville","13-089-2001","AQS"
"01/14/1999","87","","Doraville","13-089-2001","AQS"
"01/15/1999","135","","Doraville","13-089-2001","AQS"
"01/16/1999","160","","Doraville","13-089-2001","AQS"
"01/17/1999","81","","E. Rivers School","13-121-0032","AQS"
"01/18/1999","79","","Not Available","13-121-1001","AQS"
"01/19/1999","55","","Doraville","13-089-2001","AQS"
"01/21/1999","74","","Not Available","13-121-1001","AQS"
"01/22/1999","63","","Doraville","13-089-2001","AQS"
"01/23/1999","34","","E. Rivers School","13-121-0032","AQS"
"01/24/1999","55","","Fire Station #8","13-121-0039","AQS"
"01/25/1999","68","","South DeKalb","13-089-0002","AQS"
"01/26/1999","71","","Doraville","13-089-2001","AQS"
"01/27/1999","91","","Fire Station #8","13-121-0039","AQS"
"01/28/1999","106","","Doraville","13-089-2001","AQS"
"01/29/1999","98","","Doraville","13-089-2001","AQS"
"01/30/1999","131","","Fire Station #8","13-121-0039","AQS"
"01/31/1999","64","","Doraville","13-089-2001","AQS"
"02/01/1999","53","","Doraville","13-089-2001","AQS"
"02/02/1999","74","","Fire Station #8","13-121-0039","AQS"
"02/03/1999","75","","Doraville","13-089-2001","AQS"
"02/04/1999","59","","Doraville","13-089-2001","AQS"
"02/05/1999","64","","Fire Station #8","13-121-0039","AQS"
"02/06/1999","77","","E. Rivers School","13-121-0032","AQS"
"02/07/1999","72","","Kennesaw","13-067-0003","AQS"
"02/08/1999","62","","Doraville","13-089-2001","AQS"
"02/09/1999","84","","Doraville","13-089-2001","AQS"
"02/11/1999","75","","Fire Station #8","13-121-0039","AQS"
"02/14/1999","58","","Fire Station #8","13-121-0039","AQS"
"02/17/1999","72","","Fire Station #8","13-121-0039","AQS"
"02/18/1999","66","","Doraville","13-089-2001","AQS"
"02/20/1999","66","","Doraville","13-089-2001","AQS"
"02/21/1999","63","","Doraville","13-089-2001","AQS"
"02/22/1999","63","","South DeKalb","13-089-0002","AQS"
"02/23/1999","66","","Forest Park","13-063-0091","AQS"
"02/24/1999","97","","Doraville","13-089-2001","AQS"
"02/25/1999","94","","Doraville","13-089-2001","AQS"
"02/26/1999","90","","Doraville","13-089-2001","AQS"
"02/27/1999","110","","Doraville","13-089-2001","AQS"
"02/28/1999","53","","Doraville","13-089-2001","AQS"
"03/01/1999","62","","Fire Station #8","13-121-0039","AQS"
"03/02/1999","64","","South DeKalb","13-089-0002","AQS"
"03/03/1999","65","","Doraville","13-089-2001","AQS"
"03/04/1999","74","","Doraville","13-089-2001","AQS"
"03/05/1999","81","","Doraville","13-089-2001","AQS"
"03/06/1999","80","","Doraville","13-089-2001","AQS"
"03/07/1999","64","","Forest Park","13-063-0091","AQS"
"03/08/1999","53","","South DeKalb","13-089-0002","AQS"
"03/09/1999","72","","Doraville","13-089-2001","AQS"
"03/10/1999","75","","Forest Park","13-063-0091","AQS"
"03/11/1999","76","","South DeKalb","13-089-0002","AQS"
"03/12/1999","58","","Doraville","13-089-2001","AQS"
"03/13/1999","83","","Doraville","13-089-2001","AQS"
"03/14/1999","71","","South DeKalb","13-089-0002","AQS"
"03/15/1999","53","","Doraville","13-089-2001","AQS"
"03/16/1999","70","","Fire Station #8","13-121-0039","AQS"
"03/17/1999","75","","E. Rivers School","13-121-0032","AQS"
"03/18/1999","77","","Doraville","13-089-2001","AQS"
"03/19/1999","68","","Kennesaw","13-067-0003","AQS"
"03/20/1999","72","","Doraville","13-089-2001","AQS"
"03/21/1999","83","","South DeKalb","13-089-0002","AQS"
"03/22/1999","92","","South DeKalb","13-089-0002","AQS"
"03/23/1999","74","","Doraville","13-089-2001","AQS"
"03/24/1999","84","","Doraville","13-089-2001","AQS"
"03/25/1999","90","","Doraville","13-089-2001","AQS"
"03/26/1999","66","","Doraville","13-089-2001","AQS"
"03/27/1999","79","","Doraville","13-089-2001","AQS"
"03/28/1999","97","","Kennesaw","13-067-0003","AQS"
"03/29/1999","85","","Doraville","13-089-2001","AQS"
"03/30/1999","77","","Doraville","13-089-2001","AQS"
"03/31/1999","92","","Doraville","13-089-2001","AQS"
"04/01/1999","72","","Doraville","13-089-2001","AQS"
"04/02/1999","79","","South DeKalb","13-089-0002","AQS"
"04/03/1999","82","","Doraville","13-089-2001","AQS"
"04/04/1999","55","","E. Rivers School","13-121-0032","AQS"
"04/05/1999","62","","South DeKalb","13-089-0002","AQS"
"04/06/1999","79","","Kennesaw","13-067-0003","AQS"
"04/07/1999","77","","South DeKalb","13-089-0002","AQS"
"04/08/1999","90","","Doraville","13-089-2001","AQS"
"04/09/1999","87","","Yorkville, King Farm","13-223-0003","AQS"
"04/10/1999","93","","Doraville","13-089-2001","AQS"
"04/11/1999","64","","South DeKalb","13-089-0002","AQS"
"04/12/1999","56","","Kennesaw","13-067-0003","AQS"
"04/13/1999","67","","Doraville","13-089-2001","AQS"
"04/14/1999","65","","South DeKalb","13-089-0002","AQS"
"04/15/1999","66","","Doraville","13-089-2001","AQS"
"04/16/1999","48","","Doraville","13-089-2001","AQS"
"04/17/1999","48","","Doraville","13-089-2001","AQS"
"04/18/1999","55","","Doraville","13-089-2001","AQS"
"04/19/1999","58","","E. Rivers School","13-121-0032","AQS"
"04/20/1999","68","","E. Rivers School","13-121-0032","AQS"
"04/21/1999","81","","Forest Park","13-063-0091","AQS"
"04/22/1999","80","","South DeKalb","13-089-0002","AQS"
"04/23/1999","78","","South DeKalb","13-089-0002","AQS"
"04/24/1999","82","","Forest Park","13-063-0091","AQS"
"04/25/1999","90","","South DeKalb","13-089-0002","AQS"
"04/26/1999","71","","E. Rivers School","13-121-0032","AQS"
"04/27/1999","72","","Fire Station #8","13-121-0039","AQS"
"04/28/1999","68","","Doraville","13-089-2001","AQS"
"04/29/1999","48","","E. Rivers School","13-121-0032","AQS"
"04/30/1999","56","","Kennesaw","13-067-0003","AQS"
"05/01/1999","48","","Doraville","13-089-2001","AQS"
"05/02/1999","63","","South DeKalb","13-089-0002","AQS"
"05/03/1999","181","","Yorkville, King Farm","13-223-0003","AQS"
"05/04/1999","74","","Doraville","13-089-2001","AQS"
"05/05/1999","71","","Doraville","13-089-2001","AQS"
"05/06/1999","66","","E. Rivers School","13-121-0032","AQS"
"05/07/1999","56","","E. Rivers School","13-121-0032","AQS"
"05/08/1999","57","","E. Rivers School","13-121-0032","AQS"
"05/09/1999","88","","E. Rivers School","13-121-0032","AQS"
"05/10/1999","79","","E. Rivers School","13-121-0032","AQS"
"05/11/1999","77","","Doraville","13-089-2001","AQS"
"05/12/1999","76","","Forest Park","13-063-0091","AQS"
"05/13/1999","66","","South DeKalb","13-089-0002","AQS"
"05/14/1999","73","","South DeKalb","13-089-0002","AQS"
"05/15/1999","56","","Kennesaw","13-067-0003","AQS"
"05/16/1999","63","","South DeKalb","13-089-0002","AQS"
"05/17/1999","67","","South DeKalb","13-089-0002","AQS"
"05/18/1999","74","","South DeKalb","13-089-0002","AQS"
"05/19/1999","59","","E. Rivers School","13-121-0032","AQS"
"05/20/1999","63","","E. Rivers School","13-121-0032","AQS"
"05/21/1999","126","","Yorkville, King Farm","13-223-0003","AQS"
"05/22/1999","92","","Doraville","13-089-2001","AQS"
"05/23/1999","90","","E. Rivers School","13-121-0032","AQS"
"05/24/1999","92","","Doraville","13-089-2001","AQS"
"05/25/1999","74","","E. Rivers School","13-121-0032","AQS"
"05/26/1999","66","","E. Rivers School","13-121-0032","AQS"
"05/27/1999","85","","Forest Park","13-063-0091","AQS"
"05/28/1999","76","","South DeKalb","13-089-0002","AQS"
"05/29/1999","106","","Doraville","13-089-2001","AQS"
"05/30/1999","94","","Kennesaw","13-067-0003","AQS"
"05/31/1999","115","","South DeKalb","13-089-0002","AQS"
"06/01/1999","88","","E. Rivers School","13-121-0032","AQS"
"06/02/1999","91","","Forest Park","13-063-0091","AQS"
"06/03/1999","66","","South DeKalb","13-089-0002","AQS"
"06/04/1999","78","","South DeKalb","13-089-0002","AQS"
"06/05/1999","124","","Kennesaw","13-067-0003","AQS"
"06/06/1999","106","","E. Rivers School","13-121-0032","AQS"
"06/07/1999","73","","E. Rivers School","13-121-0032","AQS"
"06/08/1999","97","","Fire Station #8","13-121-0039","AQS"
"06/09/1999","97","","E. Rivers School","13-121-0032","AQS"
"06/10/1999","82","","Doraville","13-089-2001","AQS"
"06/11/1999","73","","Kennesaw","13-067-0003","AQS"
"06/12/1999","87","","E. Rivers School","13-121-0032","AQS"
"06/13/1999","82","","E. Rivers School","13-121-0032","AQS"
"06/14/1999","73","","Fire Station #8","13-121-0039","AQS"
"06/15/1999","83","","Doraville","13-089-2001","AQS"
"06/16/1999","71","","Doraville","13-089-2001","AQS"
"06/17/1999","89","","South DeKalb","13-089-0002","AQS"
"06/18/1999","117","","South DeKalb","13-089-0002","AQS"
"06/19/1999","134","","Doraville","13-089-2001","AQS"
"06/20/1999","70","","Yorkville, King Farm","13-223-0003","AQS"
"06/21/1999","62","","Doraville","13-089-2001","AQS"
"06/22/1999","74","","Doraville","13-089-2001","AQS"
"06/23/1999","86","","Doraville","13-089-2001","AQS"
"06/24/1999","70","","Doraville","13-089-2001","AQS"
"06/25/1999","66","","Doraville","13-089-2001","AQS"
"06/26/1999","55","","Fire Station #8","13-121-0039","AQS"
"06/27/1999","52","","Forest Park","13-063-0091","AQS"
"06/28/1999","57","","Doraville","13-089-2001","AQS"
"06/29/1999","80","","E. Rivers School","13-121-0032","AQS"
"06/30/1999","70","","South DeKalb","13-089-0002","AQS"
"07/01/1999","85","","E. Rivers School","13-121-0032","AQS"
"07/02/1999","92","","Kennesaw","13-067-0003","AQS"
"07/03/1999","66","","Doraville","13-089-2001","AQS"
"07/04/1999","55","","E. Rivers School","13-121-0032","AQS"
"07/05/1999","109","","E. Rivers School","13-121-0032","AQS"
"07/06/1999","92","","South DeKalb","13-089-0002","AQS"
"07/07/1999","77","","Doraville","13-089-2001","AQS"
"07/08/1999","79","","Forest Park","13-063-0091","AQS"
"07/09/1999","63","","E. Rivers School","13-121-0032","AQS"
"07/10/1999","60","","South DeKalb","13-089-0002","AQS"
"07/11/1999","58","","Doraville","13-089-2001","AQS"
"07/12/1999","54","","South DeKalb","13-089-0002","AQS"
"07/13/1999","47","","Doraville","13-089-2001","AQS"
"07/14/1999","70","","Doraville","13-089-2001","AQS"
"07/15/1999","73","","South DeKalb","13-089-0002","AQS"
"07/16/1999","77","","Doraville","13-089-2001","AQS"
"07/17/1999","77","","Doraville","13-089-2001","AQS"
"07/18/1999","87","","Doraville","13-089-2001","AQS"
"07/19/1999","93","","Doraville","13-089-2001","AQS"
"07/20/1999","123","","Forest Park","13-063-0091","AQS"
"07/21/1999","168","","Doraville","13-089-2001","AQS"
"07/22/1999","88","","South DeKalb","13-089-0002","AQS"
"07/23/1999","114","","Forest Park","13-063-0091","AQS"
"07/24/1999","123","","South DeKalb","13-089-0002","AQS"
"07/25/1999","121","","Doraville","13-089-2001","AQS"
"07/26/1999","98","","Forest Park","13-063-0091","AQS"
"07/27/1999","160","","South DeKalb","13-089-0002","AQS"
"07/28/1999","120","","E. Rivers School","13-121-0032","AQS"
"07/29/1999","166","","Fire Station #8","13-121-0039","AQS"
"07/30/1999","87","","Doraville","13-089-2001","AQS"
"07/31/1999","99","","South DeKalb","13-089-0002","AQS"
"08/01/1999","153","","Doraville","13-089-2001","AQS"
"08/02/1999","80","","E. Rivers School","13-121-0032","AQS"
"08/03/1999","93","","E. Rivers School","13-121-0032","AQS"
"08/04/1999","155","","South DeKalb","13-089-0002","AQS"
"08/05/1999","119","","South DeKalb","13-089-0002","AQS"
"08/06/1999","108","","Doraville","13-089-2001","AQS"
"08/07/1999","102","","South DeKalb","13-089-0002","AQS"
"08/08/1999","145","","Doraville","13-089-2001","AQS"
"08/09/1999","87","","Doraville","13-089-2001","AQS"
"08/10/1999","132","","South DeKalb","13-089-0002","AQS"
"08/11/1999","106","","Doraville","13-089-2001","AQS"
"08/12/1999","154","","South DeKalb","13-089-0002","AQS"
"08/13/1999","128","","Doraville","13-089-2001","AQS"
"08/14/1999","69","","Doraville","13-089-2001","AQS"
"08/15/1999","73","","Doraville","13-089-2001","AQS"
"08/16/1999","95","","Fire Station #8","13-121-0039","AQS"
"08/17/1999","96","","South DeKalb","13-089-0002","AQS"
"08/18/1999","90","","Doraville","13-089-2001","AQS"
"08/19/1999","109","","Forest Park","13-063-0091","AQS"
"08/20/1999","107","","E. Rivers School","13-121-0032","AQS"
"08/21/1999","82","","South DeKalb","13-089-0002","AQS"
"08/22/1999","103","","Not Available","13-121-1001","AQS"
"08/23/1999","98","","Doraville","13-089-2001","AQS"
"08/24/1999","54","","Doraville","13-089-2001","AQS"
"08/25/1999","87","","Yorkville, King Farm","13-223-0003","AQS"
"08/26/1999","75","","Doraville","13-089-2001","AQS"
"08/27/1999","96","","Doraville","13-089-2001","AQS"
"08/28/1999","102","","Fire Station #8","13-121-0039","AQS"
"08/29/1999","100","","Doraville","13-089-2001","AQS"
"08/30/1999","100","","Doraville","13-089-2001","AQS"
"08/31/1999","61","","Kennesaw","13-067-0003","AQS"
"09/01/1999","73","","South DeKalb","13-089-0002","AQS"
"09/02/1999","101","","E. Rivers School","13-121-0032","AQS"
"09/03/1999","112","","Fire Station #8","13-121-0039","AQS"
"09/04/1999","78","","South DeKalb","13-089-0002","AQS"
"09/05/1999","97","","South DeKalb","13-089-0002","AQS"
"09/06/1999","88","","South DeKalb","13-089-0002","AQS"
"09/07/1999","89","","South DeKalb","13-089-0002","AQS"
"09/08/1999","118","","Doraville","13-089-2001","AQS"
"09/09/1999","112","","South DeKalb","13-089-0002","AQS"
"09/10/1999","64","","South DeKalb","13-089-0002","AQS"
