"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2000","34","","Not Available","13-089-1002","AQS"
"01/02/2000","14","","Not Available","13-089-1002","AQS"
"01/03/2000","20","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/04/2000","8","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/05/2000","24","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/06/2000","24","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/07/2000","25","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/08/2000","17","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/09/2000","20","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/10/2000","17","","Not Available","13-089-1002","AQS"
"01/11/2000","24","","Not Available","13-089-1002","AQS"
"01/12/2000","32","","Not Available","13-089-1002","AQS"
"01/13/2000","17","","Not Available","13-089-1002","AQS"
"01/14/2000","9","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/15/2000","24","","Not Available","13-089-1002","AQS"
"01/16/2000","26","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/17/2000","17","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/18/2000","16","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/19/2000","22","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/20/2000","14","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/21/2000","6","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
"01/22/2000","15","","MONITOR LOCATED WITHIN PORTABLE INSTRUMENT SHELTER","13-121-0099","AQS"
