"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-01","26","39","15",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-02","37","50","27",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-03","41","52","36",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-04","43","53","36",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-05","45","56","38",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-06","49","66","42",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-07","44","52","36",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-08","38","51","29",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-09","35","46","30",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-10","35","43","30",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-11","42","55","30",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-12","47","57","38",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-13","49","57","43",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-14","43","50","36",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-15","38","41","35",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-16","44","54","38",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-17","39","46","37",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-18","38","48","34",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-19","40","52","34",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-20","41","50","32",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-21","38","47","26",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-22","31","37","24",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-23","36","45","28",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-24","44","57","33",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-25","39","48","31",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-26","34","45","25",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-27","35","46","28",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-28","33","43","27",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-29","34","41","27",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-30","39","52","29",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-01-31","46","54","39",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-01","36","44","24",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-02","25","28","21",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-03","31","40","25",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-04","31","39","26",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-05","36","45","28",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-06","42","52","34",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-07","42","54","36",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-08","44","52","37",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-09","45","54","38",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-10","45","54","36",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-11","49","61","43",
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","2022-02-12","49","61","41",
