STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USC00096407,"NORCROSS, GA US",1/1/00,,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",1/1/00,55,64,46,
USC00090444,"ATLANTA 9 NW, GA US",1/1/00,,,,
USC00095404,"MABLETON 1 N, GA US",1/1/00,,69,39,49
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/1/00,58,66,49,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",1/1/00,54,67,41,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",1/2/00,59,67,51,
USC00090444,"ATLANTA 9 NW, GA US",1/2/00,,,,
USC00096407,"NORCROSS, GA US",1/2/00,,,,
USC00095404,"MABLETON 1 N, GA US",1/2/00,,67,48,55
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/2/00,60,68,52,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",1/2/00,57,66,48,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",1/3/00,64,73,54,
USC00090444,"ATLANTA 9 NW, GA US",1/3/00,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/3/00,65,73,57,
USC00095404,"MABLETON 1 N, GA US",1/3/00,,64,50,55
USC00096407,"NORCROSS, GA US",1/3/00,,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",1/3/00,62,74,50,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",1/4/00,53,65,40,
USC00096407,"NORCROSS, GA US",1/4/00,,,,
USC00090444,"ATLANTA 9 NW, GA US",1/4/00,,,,
USC00095404,"MABLETON 1 N, GA US",1/4/00,,76,55,60
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",1/4/00,53,64,41,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/4/00,52,64,40,
USC00096407,"NORCROSS, GA US",1/5/00,,,,
USC00090444,"ATLANTA 9 NW, GA US",1/5/00,,,,
USC00095404,"MABLETON 1 N, GA US",1/5/00,,65,34,34
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/5/00,41,48,33,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",1/5/00,41,49,33,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",1/5/00,39,49,29,
