Date,Ozone AQI Value,Main Pollutant,Site Name,Site ID,Source
2000-01-01,35,Unknown,Georgia Station,13-231-9991,AQS
2000-01-02,31,Unknown,Georgia Station,13-231-9991,AQS
2000-01-03,39,Unknown,Georgia Station,13-231-9991,AQS
2000-01-04,38,Unknown,Georgia Station,13-231-9991,AQS
2000-01-05,21,Unknown,Georgia Station,13-231-9991,AQS
2000-01-06,25,Unknown,Georgia Station,13-231-9991,AQS
2000-01-07,31,Unknown,Georgia Station,13-231-9991,AQS
2000-01-08,24,Unknown,Georgia Station,13-231-9991,AQS
2000-01-09,26,Unknown,Georgia Station,13-231-9991,AQS
2000-01-10,39,Unknown,Georgia Station,13-231-9991,AQS
2000-01-11,39,Unknown,Georgia Station,13-231-9991,AQS
2000-01-12,43,Unknown,Georgia Station,13-231-9991,AQS
2000-01-13,34,Unknown,Georgia Station,13-231-9991,AQS
2000-01-14,21,Unknown,Georgia Station,13-231-9991,AQS
2000-01-15,36,Unknown,Georgia Station,13-231-9991,AQS
2000-01-16,39,Unknown,Georgia Station,13-231-9991,AQS
2000-01-17,22,Unknown,Georgia Station,13-231-9991,AQS
2000-01-18,26,Unknown,Georgia Station,13-231-9991,AQS
2000-01-19,21,Unknown,Georgia Station,13-231-9991,AQS
2000-01-20,29,Unknown,Georgia Station,13-231-9991,AQS
2000-01-21,31,Unknown,Georgia Station,13-231-9991,AQS
2000-01-22,17,Unknown,Georgia Station,13-231-9991,AQS
2000-01-23,13,Unknown,Georgia Station,13-231-9991,AQS
2000-01-24,17,Unknown,Georgia Station,13-231-9991,AQS
2000-01-25,28,Unknown,Georgia Station,13-231-9991,AQS
2000-01-26,29,Unknown,Georgia Station,13-231-9991,AQS
2000-01-27,25,Unknown,Georgia Station,13-231-9991,AQS
2000-01-28,26,Unknown,Georgia Station,13-231-9991,AQS
2000-01-29,30,Unknown,Georgia Station,13-231-9991,AQS
2000-01-31,33,Unknown,Georgia Station,13-231-9991,AQS
2000-02-01,44,Unknown,Georgia Station,13-231-9991,AQS
2000-02-02,31,Unknown,Georgia Station,13-231-9991,AQS
2000-02-03,41,Unknown,Georgia Station,13-231-9991,AQS
2000-02-04,36,Unknown,Georgia Station,13-231-9991,AQS
2000-02-05,29,Unknown,Georgia Station,13-231-9991,AQS
2000-02-06,37,Unknown,Georgia Station,13-231-9991,AQS
2000-02-07,43,Unknown,Georgia Station,13-231-9991,AQS
2000-02-08,44,Unknown,Georgia Station,13-231-9991,AQS
2000-02-09,77,Unknown,Georgia Station,13-231-9991,AQS
2000-02-10,101,Unknown,Georgia Station,13-231-9991,AQS
2000-02-11,50,Unknown,Georgia Station,13-231-9991,AQS
2000-02-12,43,Unknown,Georgia Station,13-231-9991,AQS
2000-02-13,28,Unknown,Georgia Station,13-231-9991,AQS
2000-02-14,46,Unknown,Georgia Station,13-231-9991,AQS
2000-02-15,40,Unknown,Georgia Station,13-231-9991,AQS
2000-02-16,40,Unknown,Georgia Station,13-231-9991,AQS
2000-02-17,33,Unknown,Georgia Station,13-231-9991,AQS
2000-02-18,44,Unknown,Georgia Station,13-231-9991,AQS
2000-02-19,43,Unknown,Georgia Station,13-231-9991,AQS
2000-02-20,39,Unknown,Georgia Station,13-231-9991,AQS
2000-02-21,43,Unknown,Georgia Station,13-231-9991,AQS
2000-02-22,42,Unknown,Georgia Station,13-231-9991,AQS
2000-02-23,50,Unknown,Georgia Station,13-231-9991,AQS
2000-02-24,44,Unknown,Georgia Station,13-231-9991,AQS
2000-02-25,46,Unknown,Georgia Station,13-231-9991,AQS
2000-02-27,39,Unknown,Georgia Station,13-231-9991,AQS
2000-02-28,31,Unknown,Georgia Station,13-231-9991,AQS
2000-02-29,77,Unknown,Georgia Station,13-231-9991,AQS
2000-03-01,44,Unknown,Dawsonville,13-085-0001,AQS
2000-03-02,44,Unknown,Dawsonville,13-085-0001,AQS
2000-03-03,61,Unknown,Georgia Station,13-231-9991,AQS
2000-03-04,44,Unknown,Dawsonville,13-085-0001,AQS
2000-03-05,54,Unknown,Dawsonville,13-085-0001,AQS
2000-03-06,71,Unknown,Georgia Station,13-231-9991,AQS
2000-03-07,105,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2000-03-08,150,Unknown,Dawsonville,13-085-0001,AQS
2000-03-09,44,Unknown,Georgia Station,13-231-9991,AQS
2000-03-10,31,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2000-03-11,35,Unknown,Georgia Station,13-231-9991,AQS
2000-03-12,40,Unknown,Douglasville,13-097-0004,AQS
2000-03-13,41,Unknown,McDonough,13-151-0002,AQS
2000-03-14,51,Unknown,Georgia Station,13-231-9991,AQS
2000-03-15,64,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2000-03-16,38,Unknown,Dawsonville,13-085-0001,AQS
2000-03-17,38,Unknown,Georgia Station,13-231-9991,AQS
2000-03-18,36,Unknown,Dawsonville,13-085-0001,AQS
2000-03-19,40,Unknown,Georgia Station,13-231-9991,AQS
2000-03-20,44,Unknown,Georgia Station,13-231-9991,AQS
2000-03-21,47,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-03-22,67,Unknown,Georgia Station,13-231-9991,AQS
2000-03-23,46,Unknown,"REINHARDT COLLEGE, SAMUEL C. DOBBS BUILDING",13-057-0001,AQS
2000-03-24,51,Unknown,Dawsonville,13-085-0001,AQS
2000-03-25,67,Unknown,Georgia Station,13-231-9991,AQS
2000-03-26,67,Unknown,Georgia Station,13-231-9991,AQS
2000-03-27,44,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-03-28,71,Unknown,Douglasville,13-097-0004,AQS
2000-03-29,49,Unknown,Georgia Station,13-231-9991,AQS
2000-03-30,41,Unknown,Georgia Station,13-231-9991,AQS
2000-03-31,54,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2000-04-01,90,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2000-04-02,38,Unknown,Georgia Station,13-231-9991,AQS
2000-04-03,36,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-04-04,45,Unknown,Douglasville,13-097-0004,AQS
2000-04-05,61,Unknown,Douglasville,13-097-0004,AQS
2000-04-06,112,Unknown,Dawsonville,13-085-0001,AQS
2000-04-07,49,Unknown,Dawsonville,13-085-0001,AQS
2000-04-08,37,Unknown,Georgia Station,13-231-9991,AQS
2000-04-09,46,Unknown,Douglasville,13-097-0004,AQS
2000-04-10,54,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-04-11,80,Unknown,Georgia Station,13-231-9991,AQS
2000-04-12,49,Unknown,Georgia Station,13-231-9991,AQS
2000-04-13,33,Unknown,Dawsonville,13-085-0001,AQS
2000-04-14,31,Unknown,Dawsonville,13-085-0001,AQS
2000-04-15,35,Unknown,Dawsonville,13-085-0001,AQS
2000-04-16,51,Unknown,Dawsonville,13-085-0001,AQS
2000-04-17,48,Unknown,DOT STORAGE FACILITY,13-113-0001,AQS
2000-04-18,49,Unknown,Georgia Station,13-231-9991,AQS
2000-04-19,80,Unknown,Dawsonville,13-085-0001,AQS
2000-04-20,93,Unknown,Dawsonville,13-085-0001,AQS
2000-04-21,44,Unknown,Georgia Station,13-231-9991,AQS
2000-04-22,61,Unknown,Douglasville,13-097-0004,AQS
2000-04-23,49,Unknown,Dawsonville,13-085-0001,AQS
2000-04-24,42,Unknown,Georgia Station,13-231-9991,AQS
2000-04-25,40,Unknown,Douglasville,13-097-0004,AQS
2000-04-26,93,Unknown,Douglasville,13-097-0004,AQS
2000-04-27,119,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-04-28,64,Unknown,Dawsonville,13-085-0001,AQS
2000-04-29,115,Unknown,Douglasville,13-097-0004,AQS
2000-04-30,147,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2000-05-01,122,Unknown,Dawsonville,13-085-0001,AQS
2000-05-02,126,Unknown,McDonough,13-151-0002,AQS
2000-05-03,97,Unknown,Dawsonville,13-085-0001,AQS
2000-05-04,77,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-05-05,108,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-05-06,100,Unknown,Dawsonville,13-085-0001,AQS
2000-05-07,105,Unknown,Gwinnett,13-135-0002,AQS
2000-05-08,108,Unknown,Dawsonville,13-085-0001,AQS
2000-05-09,90,Unknown,Dawsonville,13-085-0001,AQS
2000-05-10,54,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-05-11,100,Unknown,Dawsonville,13-085-0001,AQS
2000-05-12,58,Unknown,Dawsonville,13-085-0001,AQS
2000-05-13,84,Unknown,Gwinnett,13-135-0002,AQS
2000-05-14,133,Unknown,McDonough,13-151-0002,AQS
2000-05-15,122,Unknown,Newnan,13-077-0002,AQS
2000-05-16,136,Unknown,Dawsonville,13-085-0001,AQS
2000-05-17,119,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2000-05-18,133,Unknown,Dawsonville,13-085-0001,AQS
2000-05-19,77,Unknown,Dawsonville,13-085-0001,AQS
2000-05-20,74,Unknown,Gwinnett,13-135-0002,AQS
2000-05-21,46,Unknown,Gwinnett,13-135-0002,AQS
2000-05-22,80,Unknown,Gwinnett,13-135-0002,AQS
2000-05-23,84,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-05-24,74,Unknown,Dawsonville,13-085-0001,AQS
2000-05-25,45,Unknown,Douglasville,13-097-0004,AQS
2000-05-26,97,Unknown,Gwinnett,13-135-0002,AQS
2000-05-27,44,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2000-05-28,61,Unknown,McDonough,13-151-0002,AQS
2000-05-29,58,Unknown,McDonough,13-151-0002,AQS
2000-05-30,115,Unknown,Douglasville,13-097-0004,AQS
2000-05-31,174,Unknown,Douglasville,13-097-0004,AQS
2000-06-01,217,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2000-06-02,192,Unknown,Tucker-Idlewood Road,13-089-3001,AQS
2000-06-03,161,Unknown,McDonough,13-151-0002,AQS
2000-06-04,51,Unknown,McDonough,13-151-0002,AQS
2000-06-05,38,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-06-06,67,Unknown,Georgia Station,13-231-9991,AQS
2000-06-07,126,Unknown,"Yorkville, King Farm",13-223-0003,AQS
2000-06-08,169,Unknown,Kennesaw,13-067-0003,AQS
2000-06-09,203,Unknown,Kennesaw,13-067-0003,AQS
2000-06-10,202,Unknown,Kennesaw,13-067-0003,AQS
2000-06-11,200,Unknown,Kennesaw,13-067-0003,AQS
2000-06-12,156,Unknown,Kennesaw,13-067-0003,AQS
2000-06-13,101,Unknown,Dawsonville,13-085-0001,AQS
2000-06-14,115,Unknown,Gwinnett,13-135-0002,AQS
