Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
1990-01-01,121,Unknown,Reseda,06-037-1201,AQS
1990-01-02,39,Unknown,Pomona,06-037-1701,AQS
1990-01-03,89,Unknown,Lynwood,06-037-1301,AQS
1990-01-04,128,Unknown,Lynwood,06-037-1301,AQS
1990-01-05,148,Unknown,Lynwood,06-037-1301,AQS
1990-01-06,204,Unknown,Lynwood,06-037-1301,AQS
1990-01-07,91,Unknown,Lynwood,06-037-1301,AQS
1990-01-08,103,Unknown,Lynwood,06-037-1301,AQS
1990-01-09,198,Unknown,Lynwood,06-037-1301,AQS
1990-01-10,192,Unknown,Reseda,06-037-1201,AQS
1990-01-11,166,Unknown,Reseda,06-037-1201,AQS
1990-01-12,89,Unknown,Burbank,06-037-1002,AQS
1990-01-13,20,Unknown,Pomona,06-037-1701,AQS
1990-01-14,69,Unknown,Lynwood,06-037-1301,AQS
1990-01-15,72,Unknown,Lynwood,06-037-1301,AQS
1990-01-16,75,Unknown,Hawthorne,06-037-5001,AQS
1990-01-17,43,Unknown,Lynwood,06-037-1301,AQS
1990-01-18,47,Unknown,Hawthorne,06-037-5001,AQS
1990-01-19,70,Unknown,Burbank,06-037-1002,AQS
1990-01-20,87,Unknown,Hawthorne,06-037-5001,AQS
1990-01-21,103,Unknown,Lynwood,06-037-1301,AQS
1990-01-22,74,Unknown,Burbank,06-037-1002,AQS
1990-01-23,109,Unknown,Lynwood,06-037-1301,AQS
1990-01-24,145,Unknown,Hawthorne,06-037-5001,AQS
1990-01-25,67,Unknown,Lynwood,06-037-1301,AQS
1990-01-26,90,Unknown,Lynwood,06-037-1301,AQS
1990-01-27,96,Unknown,Lynwood,06-037-1301,AQS
1990-01-28,97,Unknown,Lynwood,06-037-1301,AQS
1990-01-29,148,Unknown,Lynwood,06-037-1301,AQS
1990-01-30,84,Unknown,Not Available,06-037-1601,AQS
1990-01-31,73,Unknown,Lynwood,06-037-1301,AQS
1990-02-01,32,Unknown,Not Available,06-037-1601,AQS
1990-02-02,57,Unknown,Burbank,06-037-1002,AQS
1990-02-03,83,Unknown,Burbank,06-037-1002,AQS
1990-02-04,103,Unknown,Lynwood,06-037-1301,AQS
1990-02-05,62,Unknown,Lynwood,06-037-1301,AQS
1990-02-06,83,Unknown,Hawthorne,06-037-5001,AQS
1990-02-07,75,Unknown,Hawthorne,06-037-5001,AQS
1990-02-08,62,Unknown,Lynwood,06-037-1301,AQS
1990-02-09,60,Unknown,Burbank,06-037-1002,AQS
1990-02-10,80,Unknown,Lynwood,06-037-1301,AQS
1990-02-11,92,Unknown,Reseda,06-037-1201,AQS
1990-02-12,39,Unknown,Pomona,06-037-1701,AQS
1990-02-13,63,Unknown,Lynwood,06-037-1301,AQS
1990-02-14,23,Unknown,Pomona,06-037-1701,AQS
1990-02-15,47,Unknown,La Habra,06-059-5001,AQS
1990-02-16,65,Unknown,Burbank,06-037-1002,AQS
1990-02-17,26,Unknown,Lynwood,06-037-1301,AQS
1990-02-18,26,Unknown,Lynwood,06-037-1301,AQS
1990-02-19,50,Unknown,Lynwood,06-037-1301,AQS
1990-02-20,72,Unknown,Hawthorne,06-037-5001,AQS
1990-02-21,108,Unknown,Lynwood,06-037-1301,AQS
1990-02-22,170,Unknown,Lynwood,06-037-1301,AQS
1990-02-23,91,Unknown,Lynwood,06-037-1301,AQS
1990-02-24,143,Unknown,Lynwood,06-037-1301,AQS
1990-02-25,73,Unknown,Reseda,06-037-1201,AQS
1990-02-26,67,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
1990-02-27,62,Unknown,Reseda,06-037-1201,AQS
1990-02-28,45,Unknown,Pomona,06-037-1701,AQS
1990-03-01,38,Unknown,Azusa,06-037-0002,AQS
1990-03-02,33,Unknown,Pomona,06-037-1701,AQS
1990-03-03,32,Unknown,Pomona,06-037-1701,AQS
1990-03-04,20,Unknown,Pasadena,06-037-2005,AQS
