Date,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source
1990-01-01,105,Unknown,Hawthorne,06-037-5001,AQS
1990-01-02,68,Unknown,Hawthorne,06-037-5001,AQS
1990-01-03,79,Unknown,Hawthorne,06-037-5001,AQS
1990-01-04,105,Unknown,Not Available,06-037-2401,AQS
1990-01-05,112,Unknown,Not Available,06-037-1601,AQS
1990-01-06,112,Unknown,Not Available,06-037-2401,AQS
1990-01-07,100,Unknown,Azusa,06-037-0002,AQS
1990-01-08,116,Unknown,Azusa,06-037-0002,AQS
1990-01-09,133,Unknown,Not Available,06-037-1601,AQS
1990-01-10,120,Unknown,Not Available,06-037-1601,AQS
1990-01-11,131,Unknown,Not Available,06-037-1601,AQS
1990-01-12,112,Unknown,Not Available,06-037-1601,AQS
1990-01-13,38,Unknown,Azusa,06-037-0002,AQS
1990-01-14,47,Unknown,Not Available,06-037-1601,AQS
1990-01-15,68,Unknown,Azusa,06-037-0002,AQS
1990-01-16,57,Unknown,West Los Angeles,06-037-0113,AQS
1990-01-17,79,Unknown,Reseda,06-037-1201,AQS
1990-01-18,79,Unknown,Hawthorne,06-037-5001,AQS
1990-01-19,68,Unknown,Burbank,06-037-1002,AQS
1990-01-20,110,Unknown,La Habra,06-059-5001,AQS
1990-01-21,89,Unknown,Hawthorne,06-037-5001,AQS
1990-01-22,89,Unknown,Not Available,06-037-1601,AQS
1990-01-23,106,Unknown,Not Available,06-037-1601,AQS
1990-01-24,122,Unknown,Hawthorne,06-037-5001,AQS
1990-01-25,110,Unknown,Not Available,06-037-1601,AQS
1990-01-26,116,Unknown,Not Available,06-037-1601,AQS
1990-01-27,103,Unknown,Not Available,06-037-1601,AQS
1990-01-28,89,Unknown,Not Available,06-037-1601,AQS
1990-01-29,116,Unknown,Not Available,06-037-1601,AQS
1990-01-30,112,Unknown,Not Available,06-037-1601,AQS
1990-01-31,79,Unknown,Hawthorne,06-037-5001,AQS
1990-02-01,47,Unknown,West Los Angeles,06-037-0113,AQS
1990-02-02,79,Unknown,Not Available,06-037-1601,AQS
1990-02-03,89,Unknown,Azusa,06-037-0002,AQS
1990-02-04,68,Unknown,Not Available,06-037-1601,AQS
1990-02-05,89,Unknown,Not Available,06-037-1601,AQS
1990-02-06,112,Unknown,Not Available,06-037-1601,AQS
1990-02-07,105,Unknown,Not Available,06-037-1601,AQS
1990-02-08,100,Unknown,Not Available,06-037-1601,AQS
1990-02-09,89,Unknown,Azusa,06-037-0002,AQS
1990-02-10,108,Unknown,Not Available,06-037-2401,AQS
1990-02-11,116,Unknown,Not Available,06-037-2401,AQS
1990-02-12,57,Unknown,Azusa,06-037-0002,AQS
1990-02-13,57,Unknown,Not Available,06-037-1601,AQS
1990-02-14,57,Unknown,Not Available,06-037-1601,AQS
1990-02-15,89,Unknown,Not Available,06-037-1601,AQS
1990-02-16,89,Unknown,Hawthorne,06-037-5001,AQS
1990-02-17,47,Unknown,Not Available,06-037-1601,AQS
1990-02-18,47,Unknown,Not Available,06-037-1601,AQS
1990-02-19,68,Unknown,Not Available,06-037-1601,AQS
1990-02-20,105,Unknown,Pomona,06-037-1701,AQS
1990-02-21,116,Unknown,Long Beach (North),06-037-4002,AQS
1990-02-22,110,Unknown,Not Available,06-037-1601,AQS
1990-02-23,125,Unknown,Hawthorne,06-037-5001,AQS
1990-02-24,118,Unknown,Not Available,06-037-2401,AQS
1990-02-25,108,Unknown,Hawthorne,06-037-5001,AQS
1990-02-26,125,Unknown,Not Available,06-037-1601,AQS
1990-02-27,116,Unknown,Not Available,06-037-1601,AQS
1990-02-28,112,Unknown,Not Available,06-037-1601,AQS
1990-03-01,106,Unknown,Azusa,06-037-0002,AQS
1990-03-02,103,Unknown,Azusa,06-037-0002,AQS
1990-03-03,79,Unknown,Azusa,06-037-0002,AQS
1990-03-04,47,Unknown,Azusa,06-037-0002,AQS
1990-03-05,57,Unknown,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
1990-03-06,79,Unknown,Azusa,06-037-0002,AQS
1990-03-07,106,Unknown,West Los Angeles,06-037-0113,AQS
1990-03-08,110,Unknown,Glendora,06-037-0016,AQS
1990-03-09,57,Unknown,Pasadena,06-037-2005,AQS
1990-03-10,57,Unknown,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
1990-03-11,47,Unknown,Burbank,06-037-1002,AQS
1990-03-12,57,Unknown,Not Available,06-037-1601,AQS
1990-03-13,57,Unknown,Not Available,06-037-1601,AQS
1990-03-14,100,Unknown,Pomona,06-037-1701,AQS
1990-03-15,112,Unknown,Burbank,06-037-1002,AQS
1990-03-16,110,Unknown,Pomona,06-037-1701,AQS
1990-03-17,108,Unknown,Not Available,06-037-2401,AQS
1990-03-18,105,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
1990-03-19,116,Unknown,Pomona,06-037-1701,AQS
1990-03-20,122,Unknown,Not Available,06-037-2401,AQS
1990-03-21,114,Unknown,Not Available,06-037-1601,AQS
1990-03-22,108,Unknown,Azusa,06-037-0002,AQS
1990-03-23,110,Unknown,Pomona,06-037-1701,AQS
1990-03-24,89,Unknown,Pomona,06-037-1701,AQS
1990-03-25,79,Unknown,Pomona,06-037-1701,AQS
1990-03-26,108,Unknown,Not Available,06-037-1601,AQS
1990-03-27,57,Unknown,Not Available,06-037-1601,AQS
1990-03-28,57,Unknown,Pomona,06-037-1701,AQS
1990-03-29,57,Unknown,Lynwood,06-037-1301,AQS
1990-03-30,68,Unknown,Pomona,06-037-1701,AQS
1990-03-31,68,Unknown,Not Available,06-037-1601,AQS
1990-04-01,57,Unknown,Not Available,06-037-1601,AQS
1990-04-02,106,Unknown,Pomona,06-037-1701,AQS
1990-04-03,103,Unknown,Burbank,06-037-1002,AQS
1990-04-04,79,Unknown,La Habra,06-059-5001,AQS
1990-04-05,57,Unknown,Azusa,06-037-0002,AQS
1990-04-06,79,Unknown,Azusa,06-037-0002,AQS
1990-04-07,57,Unknown,Azusa,06-037-0002,AQS
1990-04-08,47,Unknown,Pasadena,06-037-2005,AQS
1990-04-09,100,Unknown,Azusa,06-037-0002,AQS
1990-04-10,124,Unknown,La Habra,06-059-5001,AQS
1990-04-11,116,Unknown,Not Available,06-037-1601,AQS
1990-04-12,110,Unknown,Pomona,06-037-1701,AQS
1990-04-13,103,Unknown,Pomona,06-037-1701,AQS
1990-04-14,79,Unknown,Pomona,06-037-1701,AQS
1990-04-15,47,Unknown,Azusa,06-037-0002,AQS
1990-04-16,38,Unknown,Azusa,06-037-0002,AQS
1990-04-17,57,Unknown,Pomona,06-037-1701,AQS
1990-04-18,57,Unknown,Azusa,06-037-0002,AQS
1990-04-19,68,Unknown,Azusa,06-037-0002,AQS
1990-04-20,79,Unknown,Pomona,06-037-1701,AQS
1990-04-21,68,Unknown,Pomona,06-037-1701,AQS
1990-04-22,47,Unknown,Azusa,06-037-0002,AQS
1990-04-23,68,Unknown,Azusa,06-037-0002,AQS
1990-04-24,57,Unknown,Pomona,06-037-1701,AQS
1990-04-25,79,Unknown,Azusa,06-037-0002,AQS
1990-04-26,103,Unknown,West Los Angeles,06-037-0113,AQS
1990-04-27,106,Unknown,Burbank,06-037-1002,AQS
1990-04-28,57,Unknown,Not Available,06-037-6002,AQS
1990-04-29,38,Unknown,Pasadena,06-037-2005,AQS
1990-04-30,57,Unknown,Azusa,06-037-0002,AQS
1990-05-01,79,Unknown,Pomona,06-037-1701,AQS
1990-05-02,57,Unknown,Pomona,06-037-1701,AQS
1990-05-03,68,Unknown,Azusa,06-037-0002,AQS
1990-05-04,114,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
1990-05-05,114,Unknown,Not Available,06-037-2401,AQS
1990-05-06,100,Unknown,West Los Angeles,06-037-0113,AQS
1990-05-07,79,Unknown,Pomona,06-037-1701,AQS
1990-05-08,47,Unknown,Azusa,06-037-0002,AQS
1990-05-09,57,Unknown,Pomona,06-037-1701,AQS
1990-05-10,38,Unknown,West Los Angeles,06-037-0113,AQS
1990-05-11,47,Unknown,West Los Angeles,06-037-0113,AQS
1990-05-12,57,Unknown,Azusa,06-037-0002,AQS
1990-05-13,57,Unknown,Burbank,06-037-1002,AQS
1990-05-14,47,Unknown,Burbank,06-037-1002,AQS
1990-05-15,57,Unknown,Pomona,06-037-1701,AQS
1990-05-16,103,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
1990-05-17,68,Unknown,Pomona,06-037-1701,AQS
1990-05-18,79,Unknown,Azusa,06-037-0002,AQS
1990-05-19,57,Unknown,Not Available,06-037-6002,AQS
1990-05-20,38,Unknown,Burbank,06-037-1002,AQS
1990-05-21,68,Unknown,Burbank,06-037-1002,AQS
1990-05-22,100,Unknown,Pomona,06-037-1701,AQS
1990-05-23,89,Unknown,Azusa,06-037-0002,AQS
1990-05-24,68,Unknown,Burbank,06-037-1002,AQS
1990-05-25,100,Unknown,Pomona,06-037-1701,AQS
1990-05-26,68,Unknown,Reseda,06-037-1201,AQS
