STATION,NAME,DATE,TMAX,TMIN,TAVG,PRCP
US1CALA0092,"REDONDO BEACH 2.1 SSW, CA US",2022-01-01,,,,
US1CALA0108,"AGOURA HILLS 1.3 NNE, CA US",2022-01-01,,,,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2022-01-01,,,,
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2022-01-01,53.0,63.0,48.0,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2022-01-01,,,,
US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",2022-01-01,,,,
US1CALA0104,"SAN FERNANDO 7.8 SW, CA US",2022-01-01,,,,
US1CALA0023,"DIAMOND BAR 1.9 NNE, CA US",2022-01-01,,,,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2022-01-01,45.0,52.0,40.0,
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2022-01-01,35.0,40.0,31.0,
US1CALA0043,"PASADENA 1.8 E, CA US",2022-01-01,,,,
US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",2022-01-01,,,,
USC00046602,"PACOIMA DAM FC33A E, CA US",2022-01-01,,,,
USR0000CBEV,"BEVERLY HILLS CALIFORNIA, CA US",2022-01-01,51.0,63.0,44.0,
USR0000CCLE,"CLEAR CREEK CALIFORNIA, CA US",2022-01-01,42.0,50.0,35.0,
USW00003122,"TORRANCE AIRPORT, CA US",2022-01-01,,61.0,45.0,58.0
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2022-01-01,49.0,55.0,43.0,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2022-01-01,,62.0,45.0,
USC00047326,"REDONDO BEACH, CA US",2022-01-01,,61.0,45.0,57.0
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2022-01-01,36.0,40.0,31.0,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",2022-01-01,,60.0,47.0,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2022-01-01,,,,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2022-01-01,,,,
US1CALA0068,"ARTESIA 0.5 W, CA US",2022-01-01,,,,
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2022-01-01,,63.0,45.0,
US1CALA0064,"LOS ANGELES 2.6 NW, CA US",2022-01-01,,,,
USC00040144,"ALTADENA, CA US",2022-01-01,,,,
USW00023191,"AVALON CATALINA AIRPORT, CA US",2022-01-01,,55.0,45.0,
USW00023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",2022-01-01,,62.0,41.0,
USR0000CTAN,"TANBARK CALIFORNIA, CA US",2022-01-01,44.0,52.0,37.0,
USW00023182,"PALMDALE AIRPORT, CA US",2022-01-01,,48.0,28.0,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2022-01-01,,61.0,49.0,
US1CALA0036,"PASADENA 2.0 SE, CA US",2022-01-01,,,,
USR0000CLEO,"LEO CARRILLO CALIFORNIA, CA US",2022-01-01,55.0,62.0,51.0,
US1CALA0091,"PASADENA 0.8 ENE, CA US",2022-01-01,,,,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2022-01-01,,,,
US1CALA0096,"CLAREMONT 0.6 SSE, CA US",2022-01-01,,,,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2022-01-01,,,,
USR0000CWPK,"WHITAKER PEAK CALIFORNIA, CA US",2022-01-01,35.0,44.0,29.0,
US1CALA0067,"SANTA CLARITA 3.1 WSW, CA US",2022-01-01,,,,
USR0000CWHH,"WHITTIER HILLS CALIFORNIA, CA US",2022-01-01,52.0,61.0,47.0,
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2022-01-01,36.0,46.0,28.0,
USC00042214,"CULVER CITY, CA US",2022-01-01,,61.0,48.0,59.0
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",2022-01-01,47.0,57.0,40.0,
USW00023130,"VAN NUYS AIRPORT, CA US",2022-01-01,,61.0,46.0,
US1CALA0106,"CLAREMONT 0.7 SE, CA US",2022-01-01,,,,
US1CALA0014,"CANYON COUNTRY 2.6 E, CA US",2022-01-01,,,,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2022-01-01,,,,
USC00049152,"U C L A, CA US",2022-01-01,,62.0,48.0,59.0
US1CALA0048,"SANTA MONICA 1.3 NNE, CA US",2022-01-01,,,,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2022-01-01,50.0,59.0,43.0,
USR0000CVAY,"VALYERMO CALIFORNIA, CA US",2022-01-01,35.0,46.0,27.0,
US1CALA0077,"LANCASTER 5.5 E, CA US",2022-01-01,,,,
USC00046773,"PEARBLOSSOM, CA US",2022-01-01,,46.0,32.0,38.0
USW00003159,"LANCASTER, CA US",2022-01-01,,48.0,28.0,
US1CALA0010,"WHITTIER 2.9 WNW, CA US",2022-01-01,,,,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2022-01-01,,63.0,48.0,
US1CALA0021,"ARCADIA 2.1 NNE, CA US",2022-01-01,,,,
USR0000CDVA,"DEL VALLE CALIFORNIA, CA US",2022-01-01,47.0,52.0,42.0,
USC00048014,"SAUGUS POWER PLANT 1, CA US",2022-01-01,,,,
USC00042090,"COVINA CITY YARD FC387B, CA US",2022-01-01,,,,
USC00046624,"PALMDALE, CA US",2022-01-01,,48.0,28.0,29.0
USR0000CCHI,"CHILAO CALIFORNIA, CA US",2022-01-01,36.0,47.0,27.0,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2022-01-01,,,,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2022-01-01,,62.0,35.0,36.0
USC00049785,"WOODLAND HILLS PIERCE COLLEGE, CA US",2022-01-01,,59.0,40.0,57.0
USC00046719,"PASADENA, CA US",2022-01-01,,61.0,44.0,46.0
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2022-01-01,38.0,49.0,25.0,
USC00046663,"PALOS VERDES ES FC43D, CA US",2022-01-01,,,,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2022-01-01,33.0,40.0,28.0,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2022-01-02,,,,
US1CALA0068,"ARTESIA 0.5 W, CA US",2022-01-02,,,,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2022-01-02,,68.0,34.0,34.0
USC00040144,"ALTADENA, CA US",2022-01-02,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2022-01-02,,66.0,45.0,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2022-01-02,46.0,55.0,39.0,
US1CALA0091,"PASADENA 0.8 ENE, CA US",2022-01-02,,,,
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",2022-01-02,46.0,62.0,35.0,
USR0000CVAY,"VALYERMO CALIFORNIA, CA US",2022-01-02,33.0,45.0,25.0,
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2022-01-02,53.0,66.0,45.0,
US1CALA0104,"SAN FERNANDO 7.8 SW, CA US",2022-01-02,,,,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2022-01-02,,68.0,45.0,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2022-01-02,,,,
USC00048014,"SAUGUS POWER PLANT 1, CA US",2022-01-02,,,,
USC00046602,"PACOIMA DAM FC33A E, CA US",2022-01-02,,,,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2022-01-02,,,,
US1CALA0092,"REDONDO BEACH 2.1 SSW, CA US",2022-01-02,,,,
USR0000CWPK,"WHITAKER PEAK CALIFORNIA, CA US",2022-01-02,39.0,46.0,33.0,
USC00046773,"PEARBLOSSOM, CA US",2022-01-02,,46.0,26.0,36.0
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2022-01-02,37.0,50.0,27.0,
USW00023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",2022-01-02,,65.0,38.0,
USR0000CTAN,"TANBARK CALIFORNIA, CA US",2022-01-02,48.0,58.0,39.0,
USR0000CWHH,"WHITTIER HILLS CALIFORNIA, CA US",2022-01-02,52.0,64.0,46.0,
USC00046624,"PALMDALE, CA US",2022-01-02,,48.0,25.0,28.0
USC00046663,"PALOS VERDES ES FC43D, CA US",2022-01-02,,,,
USC00049785,"WOODLAND HILLS PIERCE COLLEGE, CA US",2022-01-02,,64.0,32.0,61.0
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2022-01-02,33.0,51.0,18.0,
USR0000CCHI,"CHILAO CALIFORNIA, CA US",2022-01-02,45.0,54.0,37.0,
US1CALA0010,"WHITTIER 2.9 WNW, CA US",2022-01-02,,,,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2022-01-02,49.0,62.0,40.0,
USC00049152,"U C L A, CA US",2022-01-02,,66.0,48.0,63.0
US1CALA0048,"SANTA MONICA 1.3 NNE, CA US",2022-01-02,,,,
USW00023130,"VAN NUYS AIRPORT, CA US",2022-01-02,,63.0,41.0,
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2022-01-02,34.0,46.0,26.0,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2022-01-02,39.0,45.0,33.0,
USC00042214,"CULVER CITY, CA US",2022-01-02,,65.0,44.0,61.0
USC00042941,"FAIRMONT, CA US",2022-01-02,,41.0,29.0,39.0
USW00003159,"LANCASTER, CA US",2022-01-02,,48.0,24.0,
USC00046719,"PASADENA, CA US",2022-01-02,,65.0,40.0,41.0
USR0000CDVA,"DEL VALLE CALIFORNIA, CA US",2022-01-02,48.0,56.0,42.0,
US1CALA0014,"CANYON COUNTRY 2.6 E, CA US",2022-01-02,,,,
USC00047326,"REDONDO BEACH, CA US",2022-01-02,,66.0,40.0,58.0
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2022-01-02,53.0,60.0,47.0,
USW00003122,"TORRANCE AIRPORT, CA US",2022-01-02,,63.0,39.0,61.0
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2022-01-02,,,,
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2022-01-02,,66.0,41.0,
US1CALA0064,"LOS ANGELES 2.6 NW, CA US",2022-01-02,,,,
USW00023191,"AVALON CATALINA AIRPORT, CA US",2022-01-02,,58.0,44.0,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2022-01-02,,,,
USW00023182,"PALMDALE AIRPORT, CA US",2022-01-02,,47.0,25.0,
US1CALA0036,"PASADENA 2.0 SE, CA US",2022-01-02,,,,
USR0000CLEO,"LEO CARRILLO CALIFORNIA, CA US",2022-01-02,56.0,62.0,50.0,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2022-01-02,,,,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2022-01-02,44.0,49.0,37.0,
US1CALA0108,"AGOURA HILLS 1.3 NNE, CA US",2022-01-02,,,,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2022-01-02,,,,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2022-01-02,,,,
US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",2022-01-02,,,,
US1CALA0023,"DIAMOND BAR 1.9 NNE, CA US",2022-01-02,,,,
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2022-01-02,36.0,41.0,33.0,
US1CALA0043,"PASADENA 1.8 E, CA US",2022-01-02,,,,
USR0000CBEV,"BEVERLY HILLS CALIFORNIA, CA US",2022-01-02,51.0,63.0,44.0,
USR0000CCLE,"CLEAR CREEK CALIFORNIA, CA US",2022-01-02,47.0,56.0,40.0,
US1CALA0067,"SANTA CLARITA 3.1 WSW, CA US",2022-01-02,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",2022-01-02,,66.0,44.0,
US1CALA0021,"ARCADIA 2.1 NNE, CA US",2022-01-02,,,,
USC00042090,"COVINA CITY YARD FC387B, CA US",2022-01-02,,,,
US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",2022-01-02,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2022-01-02,,64.0,43.0,
US1CALA0096,"CLAREMONT 0.6 SSE, CA US",2022-01-02,,,,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2022-01-03,48.0,56.0,42.0,
USW00023191,"AVALON CATALINA AIRPORT, CA US",2022-01-03,,56.0,44.0,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2022-01-03,,,,
USW00023182,"PALMDALE AIRPORT, CA US",2022-01-03,,52.0,24.0,
US1CALA0036,"PASADENA 2.0 SE, CA US",2022-01-03,,,,
USR0000CLEO,"LEO CARRILLO CALIFORNIA, CA US",2022-01-03,54.0,60.0,48.0,
US1CALA0021,"ARCADIA 2.1 NNE, CA US",2022-01-03,,,,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2022-01-03,,,,
US1CALA0096,"CLAREMONT 0.6 SSE, CA US",2022-01-03,,,,
USW00023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",2022-01-03,,66.0,37.0,
US1CALA0108,"AGOURA HILLS 1.3 NNE, CA US",2022-01-03,,,,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2022-01-03,,,,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2022-01-03,,,,
US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",2022-01-03,,,,
US1CALA0023,"DIAMOND BAR 1.9 NNE, CA US",2022-01-03,,,,
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2022-01-03,44.0,57.0,34.0,
US1CALA0043,"PASADENA 1.8 E, CA US",2022-01-03,,,,
USR0000CBEV,"BEVERLY HILLS CALIFORNIA, CA US",2022-01-03,53.0,67.0,44.0,
USR0000CCLE,"CLEAR CREEK CALIFORNIA, CA US",2022-01-03,50.0,58.0,44.0,
