Year,Rank,High (°F),Low (°F)
1990,35,71.4,56.1
1991,81,69.5,55.6
1992,16,72.0,57.7
1993,27,71.3,56.8
1994,42,71.2,56.0
1995,53,70.3,56.5
1996,25,71.6,56.9
1997,13,72.3,57.7
1998,90,69.0,55.3
1999,75,69.5,55.7
2000,62,69.9,56.4
2001,97,68.1,55.5
2002,91,68.9,55.3
2003,57,70.1,56.3
2004,50,70.4,56.5
2005,63,70.1,56.1
2006,32,70.9,56.7
2007,74,69.2,56.2
2008,34,70.5,57.0
2009,69,69.6,56.0
2010,92,68.4,55.5
2011,94,68.6,55.1
2012,47,70.1,56.9
2013,33,70.8,56.7
2014,4,72.9,59.1
2015,6,72.7,58.4
2016,15,72.0,57.9
2017,10,72.4,57.9
2018,8,72.2,58.3
2019,29,70.9,57.2
2020,18,72.2,57.3
2021,71,69.6,55.9
2022,17,72.3,57.4
2023,80,69.3,55.8
2024,79,69.1,56.0
2025,44,70.1,57.0
