Date,City,NO2,O3,CO,PM2.5,AQI,Month,Wind_Speed,Precip,Temp,Target_AQI,AQI_Lag1,AQI_7Day_Mean
1999-01-07,Atlanta,25.666667,0.0075,2.3,22.2,72.0,1,4.8596,0.0,46.94,66.0,95.0,68.14285714285714
1999-01-07,Los Angeles,84.608696,0.027294,6.529167,66.3,157.0,1,4.082064,0.0,53.06,128.0,157.0,120.57142857142857
1999-01-08,Atlanta,27.578947,0.0075,2.091667,19.2,66.0,1,5.637136000000001,0.0,53.96,55.0,72.0,65.85714285714286
1999-01-08,Los Angeles,57.130435,0.031235,3.143478,46.4,128.0,1,4.8596,0.0,57.02,81.0,157.0,124.42857142857143
1999-01-09,Atlanta,16.583333,0.0075,1.058333,13.9,55.0,1,12.246192,0.4606299212598425,41.0,61.0,66.0,64.57142857142857
1999-01-09,Los Angeles,62.521739,0.019647,5.021739,26.6,81.0,1,4.276448,0.0,60.08,84.0,128.0,121.57142857142857
1999-01-10,Atlanta,20.333333,0.0075,0.878261,16.8,61.0,1,7.77536,0.0,30.92,45.0,55.0,65.0
1999-01-10,Los Angeles,61.173913,0.014941,4.917391,27.6,84.0,1,4.276448,0.0,64.94,99.0,81.0,116.85714285714286
1999-01-11,Atlanta,34.833333,0.0075,1.575,15.25,45.0,1,5.637136000000001,0.0,41.0,54.0,61.0,63.42857142857143
1999-01-11,Los Angeles,67.217391,0.019294,5.5,29.8,99.0,1,5.053984,0.0,59.0,117.0,84.0,116.14285714285714
1999-01-12,Atlanta,33.882353,0.0075,1.779167,13.7,54.0,1,5.637136000000001,0.0,48.02,68.0,45.0,64.0
1999-01-12,Los Angeles,54.73913,0.017294,2.617391,42.0,117.0,1,4.665216000000001,0.0,57.02,157.0,99.0,117.57142857142857
1999-01-13,Atlanta,40.5,0.0075,2.395833,20.3,68.0,1,4.082064,0.0,51.08,85.0,54.0,60.142857142857146
1999-01-13,Los Angeles,68.043478,0.016647,4.695833,66.9,157.0,1,4.8596,0.0,53.06,123.0,117.0,117.57142857142857
1999-01-14,Atlanta,31.458333,0.0075,2.408333,28.3,85.0,1,4.276448,0.3582677165354331,57.92,135.0,68.0,62.0
1999-01-14,Los Angeles,75.434783,0.022118,5.53913,44.4,123.0,1,3.693296,0.0,64.04,121.0,157.0,112.71428571428571
1999-01-15,Atlanta,27.625,0.0075,0.795833,49.2,135.0,1,8.358512,0.0,42.98,158.0,85.0,71.85714285714286
1999-01-15,Los Angeles,69.565217,0.027353,6.783333,38.4,121.0,1,4.470832000000001,0.0,60.98,132.0,123.0,111.71428571428571
1999-01-16,Atlanta,42.041667,0.0075,2.233333,68.3,158.0,1,2.721376,0.0,46.94,78.0,135.0,86.57142857142857
1999-01-16,Los Angeles,57.478261,0.034353,2.7375,47.9,132.0,1,4.665216000000001,0.0,57.92,155.0,121.0,119.0
1999-01-17,Atlanta,27.708333,0.0075,1.579167,25.1,78.0,1,6.025904000000001,0.0,53.96,76.0,158.0,89.0
1999-01-17,Los Angeles,44.73913,0.025824,2.147826,63.2,155.0,1,4.8596,0.0,59.0,164.0,132.0,129.14285714285714
1999-01-18,Atlanta,22.708333,0.0075,0.641667,24.1,76.0,1,9.524816,0.0196850393700787,55.04,62.0,78.0,93.42857142857143
1999-01-18,Los Angeles,54.391304,0.018706,2.916667,81.3,164.0,1,5.83152,0.0,55.94,81.0,155.0,138.42857142857142
